City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,AQI_Missing_Original,AQI_Category,Year,Month,Month_Name
Bangalore,2018-01-01,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-02,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-03,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-04,78.0,42.9,84.24,64.74,88.92,0.82,74.1,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-05,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-06,90.0,49.5,97.2,74.7,102.6,0.95,85.5,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-07,91.0,50.05,98.28,75.53,103.74,0.96,86.45,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-08,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-09,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-10,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-11,75.0,41.25,81.0,62.25,85.5,0.79,71.25,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-12,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-13,86.0,47.3,92.88,71.38,98.04,0.9,81.7,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-14,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-15,93.0,51.15,100.44,77.19,106.02,0.98,88.35,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-16,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-17,95.0,52.25,102.6,78.85,108.3,1.0,90.25,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-18,101.0,55.55,109.08,83.83,115.14,1.06,95.95,False,Moderate,2018,1,Jan
Bangalore,2018-01-19,100.0,55.0,108.0,83.0,114.0,1.05,95.0,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-20,103.0,56.65,111.24,85.49,117.42,1.08,97.85,False,Moderate,2018,1,Jan
Bangalore,2018-01-21,98.0,53.9,105.84,81.34,111.72,1.03,93.1,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-22,90.0,49.5,97.2,74.7,102.6,0.95,85.5,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-23,98.0,53.9,105.84,81.34,111.72,1.03,93.1,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-24,101.0,55.55,109.08,83.83,115.14,1.06,95.95,False,Moderate,2018,1,Jan
Bangalore,2018-01-25,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-26,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-27,94.0,51.7,101.52,78.02,107.16,0.99,89.3,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-28,105.0,57.75,113.4,87.15,119.7,1.1,99.75,False,Moderate,2018,1,Jan
Bangalore,2018-01-29,86.0,47.3,92.88,71.38,98.04,0.9,81.7,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-30,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-01-31,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False,Satisfactory,2018,1,Jan
Bangalore,2018-02-01,89.0,48.95,96.12,73.87,101.46,0.93,84.55,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-02,89.0,48.95,96.12,73.87,101.46,0.93,84.55,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-03,78.0,42.9,84.24,64.74,88.92,0.82,74.1,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-04,80.0,44.0,86.4,66.4,91.2,0.84,76.0,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-05,69.0,37.95,74.52,57.27,78.66,0.72,65.55,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-06,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-07,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-08,68.0,37.4,73.44,56.44,77.52,0.71,64.6,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-09,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-10,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-11,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-12,72.0,39.6,77.76,59.76,82.08,0.76,68.4,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-13,75.0,41.25,81.0,62.25,85.5,0.79,71.25,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-14,83.0,45.65,89.64,68.89,94.62,0.87,78.85,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-15,75.0,41.25,81.0,62.25,85.5,0.79,71.25,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-16,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-17,82.0,45.1,88.56,68.06,93.48,0.86,77.9,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-18,87.0,47.85,93.96,72.21,99.18,0.91,82.65,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-19,79.0,43.45,85.32,65.57,90.06,0.83,75.05,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-20,79.0,43.45,85.32,65.57,90.06,0.83,75.05,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-21,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-22,89.0,48.95,96.12,73.87,101.46,0.93,84.55,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-23,78.0,42.9,84.24,64.74,88.92,0.82,74.1,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-24,79.0,43.45,85.32,65.57,90.06,0.83,75.05,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-25,57.0,31.35,61.56,47.31,64.98,0.6,54.15,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-26,59.0,32.45,63.72,48.97,67.26,0.62,56.05,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-27,67.0,36.85,72.36,55.61,76.38,0.7,63.65,False,Satisfactory,2018,2,Feb
Bangalore,2018-02-28,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False,Satisfactory,2018,2,Feb
Bangalore,2018-03-01,72.0,39.6,77.76,59.76,82.08,0.76,68.4,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-02,88.0,48.4,95.04,73.04,100.32,0.92,83.6,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-03,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-04,86.0,47.3,92.88,71.38,98.04,0.9,81.7,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-05,111.0,61.05,119.88,92.13,126.54,1.17,105.45,False,Moderate,2018,3,Mar
Bangalore,2018-03-06,89.0,48.95,96.12,73.87,101.46,0.93,84.55,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-07,91.0,50.05,98.28,75.53,103.74,0.96,86.45,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-08,103.0,56.65,111.24,85.49,117.42,1.08,97.85,False,Moderate,2018,3,Mar
Bangalore,2018-03-09,122.0,67.1,131.76,101.26,139.08,1.28,115.9,False,Moderate,2018,3,Mar
Bangalore,2018-03-10,127.0,69.85,137.16,105.41,144.78,1.33,120.65,False,Moderate,2018,3,Mar
Bangalore,2018-03-11,119.0,65.45,128.52,98.77,135.66,1.25,113.05,False,Moderate,2018,3,Mar
Bangalore,2018-03-12,94.0,51.7,101.52,78.02,107.16,0.99,89.3,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-13,76.0,41.8,82.08,63.08,86.64,0.8,72.2,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-14,70.0,38.5,75.6,58.1,79.8,0.74,66.5,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-15,77.0,42.35,83.16,63.91,87.78,0.81,73.15,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-16,52.0,28.6,56.16,43.16,59.28,0.55,49.4,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-17,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-18,54.0,29.7,58.32,44.82,61.56,0.57,51.3,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-19,73.0,40.15,78.84,60.59,83.22,0.77,69.35,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-20,114.0,62.7,123.12,94.62,129.96,1.2,108.3,False,Moderate,2018,3,Mar
Bangalore,2018-03-21,93.0,51.15,100.44,77.19,106.02,0.98,88.35,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-22,124.0,68.2,133.92,102.92,141.36,1.3,117.8,False,Moderate,2018,3,Mar
Bangalore,2018-03-23,106.0,58.3,114.48,87.98,120.84,1.11,100.7,False,Moderate,2018,3,Mar
Bangalore,2018-03-24,109.0,59.95,117.72,90.47,124.26,1.14,103.55,False,Moderate,2018,3,Mar
Bangalore,2018-03-25,126.0,69.3,136.08,104.58,143.64,1.32,119.7,False,Moderate,2018,3,Mar
Bangalore,2018-03-26,95.0,52.25,102.6,78.85,108.3,1.0,90.25,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-27,95.0,52.25,102.6,78.85,108.3,1.0,90.25,False,Satisfactory,2018,3,Mar
Bangalore,2018-03-28,118.0,64.9,127.44,97.94,134.52,1.24,112.1,False,Moderate,2018,3,Mar
Bangalore,2018-03-29,138.0,75.9,149.04,114.54,157.32,1.45,131.1,False,Moderate,2018,3,Mar
Bangalore,2018-03-30,130.0,71.5,140.4,107.9,148.2,1.37,123.5,False,Moderate,2018,3,Mar
Bangalore,2018-03-31,117.0,64.35,126.36,97.11,133.38,1.23,111.15,False,Moderate,2018,3,Mar
Bangalore,2018-04-01,112.0,61.6,120.96,92.96,127.68,1.18,106.4,False,Moderate,2018,4,Apr
Bangalore,2018-04-02,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-03,97.0,53.35,104.76,80.51,110.58,1.02,92.15,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-04,106.0,58.3,114.48,87.98,120.84,1.11,100.7,False,Moderate,2018,4,Apr
Bangalore,2018-04-05,118.0,64.9,127.44,97.94,134.52,1.24,112.1,False,Moderate,2018,4,Apr
Bangalore,2018-04-06,116.0,63.8,125.28,96.28,132.24,1.22,110.2,False,Moderate,2018,4,Apr
Bangalore,2018-04-07,128.0,70.4,138.24,106.24,145.92,1.34,121.6,False,Moderate,2018,4,Apr
Bangalore,2018-04-08,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False,Moderate,2018,4,Apr
Bangalore,2018-04-09,57.0,31.35,61.56,47.31,64.98,0.6,54.15,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-10,66.0,36.3,71.28,54.78,75.24,0.69,62.7,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-11,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-12,90.0,49.5,97.2,74.7,102.6,0.95,85.5,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-13,71.0,39.05,76.68,58.93,80.94,0.75,67.45,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-14,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-15,97.0,53.35,104.76,80.51,110.58,1.02,92.15,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-16,49.0,26.95,52.92,40.67,55.86,0.51,46.55,False,Good,2018,4,Apr
Bangalore,2018-04-17,69.0,37.95,74.52,57.27,78.66,0.72,65.55,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-18,89.0,48.95,96.12,73.87,101.46,0.93,84.55,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-19,103.0,56.65,111.24,85.49,117.42,1.08,97.85,False,Moderate,2018,4,Apr
Bangalore,2018-04-20,100.0,55.0,108.0,83.0,114.0,1.05,95.0,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-21,81.0,44.55,87.48,67.23,92.34,0.85,76.95,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-22,94.0,51.7,101.52,78.02,107.16,0.99,89.3,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-23,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-24,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-25,74.0,40.7,79.92,61.42,84.36,0.78,70.3,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-26,92.0,50.6,99.36,76.36,104.88,0.97,87.4,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-27,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-28,95.0,52.25,102.6,78.85,108.3,1.0,90.25,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-29,87.0,47.85,93.96,72.21,99.18,0.91,82.65,False,Satisfactory,2018,4,Apr
Bangalore,2018-04-30,80.0,44.0,86.4,66.4,91.2,0.84,76.0,False,Satisfactory,2018,4,Apr
Bangalore,2018-05-01,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False,Moderate,2018,5,May
Bangalore,2018-05-02,87.0,47.85,93.96,72.21,99.18,0.91,82.65,False,Satisfactory,2018,5,May
Bangalore,2018-05-03,85.0,46.75,91.8,70.55,96.9,0.89,80.75,False,Satisfactory,2018,5,May
Bangalore,2018-05-04,96.0,52.8,103.68,79.68,109.44,1.01,91.2,False,Satisfactory,2018,5,May
Bangalore,2018-05-05,115.0,63.25,124.2,95.45,131.1,1.21,109.25,False,Moderate,2018,5,May
Bangalore,2018-05-06,84.0,46.2,90.72,69.72,95.76,0.88,79.8,False,Satisfactory,2018,5,May
Bangalore,2018-05-07,108.0,59.4,116.64,89.64,123.12,1.13,102.6,False,Moderate,2018,5,May
